window,kind,seed,sel,thr,acc,bal,prec,rec,f1
60,lstm,2,f1,0.5000000000000002,0.38596491228070173,0.47122762148337594,0.3333333333333333,0.029411764705882353,0.05405405405405406
60,lstm,3,acc,0.4000000000000001,0.5964912280701754,0.5140664961636828,0.6037735849056604,0.9411764705882353,0.735632183908046
60,lstm,3,bal,0.8500000000000003,0.40350877192982454,0.5,0.0,0.0,0.0
60,lstm,3,f1,0.4000000000000001,0.5964912280701754,0.5140664961636828,0.6037735849056604,0.9411764705882353,0.735632183908046
60,bilstm,1,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,bilstm,1,bal,0.6500000000000002,0.45614035087719296,0.5159846547314578,0.6363636363636364,0.20588235294117646,0.3111111111111111
60,bilstm,1,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,bilstm,2,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,bilstm,2,bal,0.6000000000000002,0.38596491228070173,0.4641943734015345,0.4,0.058823529411764705,0.10256410256410256
60,bilstm,2,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,bilstm,3,acc,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
60,bilstm,3,bal,0.7750000000000002,0.5964912280701754,0.5984654731457801,0.6896551724137931,0.5882352941176471,0.6349206349206349
60,bilstm,3,f1,0.05,0.5964912280701754,0.5,0.5964912280701754,1.0,0.7472527472527473
